director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Derik Murray Adrian Buitenhuis,Heath Ledger,Kate Ledger,Kim Ledger,Documentary,i am heath ledger,Heath LedgerKate LedgerKim LedgerDerik Murray Adrian BuitenhuisDocumentary
Fernando Coimbra,Nicholas Hoult,Logan Marshall-Green,Henry Cavill,Drama War,sand castle,Nicholas HoultLogan Marshall-GreenHenry CavillFernando CoimbraDrama War
Robert Dyke,Sarah Butler,Damon Dayoub,Charles Shaughnessy,Action Sci-Fi Adventure,moontrap: target earth,Sarah ButlerDamon DayoubCharles ShaughnessyRobert DykeAction Sci-Fi Adventure
Anna Sandilands Ewan McNicol,unknown,unknown,unknown,Documentary,uncertain,unknownunknownunknownAnna Sandilands Ewan McNicolDocumentary
Roman Karimov,Efim Petrunin,Lyubov Aksyonova,Sofya Rayzman,Comedy,"have fun, vasya!",Efim PetruninLyubov AksyonovaSofya RayzmanRoman KarimovComedy
Park Kwang-hyun,Ji Chang-wook,Shim Eun-kyung,Ahn Jae-hong,Action,fabricated city,Ji Chang-wookShim Eun-kyungAhn Jae-hongPark Kwang-hyunAction
Michael Apted,Noomi Rapace,Orlando Bloom,Michael Douglas,Action Thriller,unlocked,Noomi RapaceOrlando BloomMichael DouglasMichael AptedAction Thriller
Eric D. Howell,Emilia Clarke,Marton Csokas,Caterina Murino,Drama Mystery Romance Thriller,voice from the stone,Emilia ClarkeMarton CsokasCaterina MurinoEric D. HowellDrama Mystery Romance Thriller
E.L. Katz,Nikolaj Coster-Waldau,Jacki Weaver,Robert Forster,Drama Comedy Thriller Crime,small crimes,Nikolaj Coster-WaldauJacki WeaverRobert ForsterE.L. KatzDrama Comedy Thriller Crime
Murat Kepez,Çaglar Çorumlu,Büşra Pekin,Mahir Ipek,Comedy,kolonya cumhuriyeti,Çaglar ÇorumluBüşra PekinMahir IpekMurat KepezComedy
Mark Lamprell,Dacre Montgomery,Xavier Samuel,Kris Marshall,Comedy,a few less men,Dacre MontgomeryXavier SamuelKris MarshallMark LamprellComedy
Richard Sears,Jena Malone,Douglas Smith,Ted Levine,Drama Mystery Thriller,bottom of the world,Jena MaloneDouglas SmithTed LevineRichard SearsDrama Mystery Thriller
Simon West,Dominic Cooper,Gemma Chan,Connie Nielsen,Action Thriller,stratton,Dominic CooperGemma ChanConnie NielsenSimon WestAction Thriller
Azazel Jacobs,Debra Winger,Tracy Letts,Aidan Gillen,Comedy,the lovers,Debra WingerTracy LettsAidan GillenAzazel JacobsComedy
S.S. Rajamouli,Prabhas,Rana Daggubati,Sathyaraj,Action Adventure History War,baahubali 2: the conclusion,PrabhasRana DaggubatiSathyarajS.S. RajamouliAction Adventure History War
Juanita Wilson,Julia Garner,Jake Weary,Anna Friel,Drama Thriller,tomato red,Julia GarnerJake WearyAnna FrielJuanita WilsonDrama Thriller
Grant Humphreys,Ronan Quarmby,Brad Richards,Barbara Harrison,Sci-Fi,taking earth,Ronan QuarmbyBrad RichardsBarbara HarrisonGrant HumphreysSci-Fi
Jessica Yu,Maria Bamford,unknown,unknown,Comedy,maria bamford: old baby,Maria BamfordunknownunknownJessica YuComedy
Maccio Capatonda,Maccio Capatonda,Maccio Capatonda,Maccio Capatonda,Comedy,omicidio all'italiana,Maccio CapatondaMaccio CapatondaMaccio CapatondaMaccio CapatondaComedy
Joseph Cedar,Richard Gere,Lior Ashkenazi,Michael Sheen,Comedy Thriller Drama,norman: the moderate rise and tragic fall of a new york fixer,Richard GereLior AshkenaziMichael SheenJoseph CedarComedy Thriller Drama
Jamie Cymbal Ryan Simons,Jimmy Allen,Lindsay Bennett,Chris Blackwood,Horror,seizure,Jimmy AllenLindsay BennettChris BlackwoodJamie Cymbal Ryan SimonsHorror
Franck Khalfoun,Bella Thorne,Cameron Monaghan,Jennifer Morrison,Thriller Horror,amityville: the awakening,Bella ThorneCameron MonaghanJennifer MorrisonFranck KhalfounThriller Horror
Sofia Coppola,Colin Farrell,Nicole Kidman,Kirsten Dunst,Drama Western,the beguiled,Colin FarrellNicole KidmanKirsten DunstSofia CoppolaDrama Western
Sierra Pettengill Pacho Velez,Ronald Reagan,Nancy Reagan,Barbara Walters,Documentary,the reagan show,Ronald ReaganNancy ReaganBarbara WaltersSierra Pettengill Pacho VelezDocumentary
Edgar Wright,Ansel Elgort,Lily James,Kevin Spacey,Action Crime,baby driver,Ansel ElgortLily JamesKevin SpaceyEdgar WrightAction Crime
Bong Joon-ho,Tilda Swinton,Paul Dano,Ahn Seo-hyun ,Adventure Drama Fantasy Sci-Fi,okja,Tilda SwintonPaul DanoAhn Seo-hyun Bong Joon-hoAdventure Drama Fantasy Sci-Fi
Jay Woelfel,Tim Thomerson,Richard Hatch,Tiffany Shepis,Horror,asylum of darkness,Tim ThomersonRichard HatchTiffany ShepisJay WoelfelHorror
Lucia Aniello,Scarlett Johansson,Jillian Bell,Kate McKinnon,Drama Comedy,rough night,Scarlett JohanssonJillian BellKate McKinnonLucia AnielloDrama Comedy
Sean Foley,Julian Barratt,Simon Farnaby,Essie Davis,Comedy,mindhorn,Julian BarrattSimon FarnabyEssie DavisSean FoleyComedy
Kevin Macdonald,Richard Madden,Flora Spencer-Longhurst,Moshidi Motshegwa,TV Movie Drama Sci-Fi,oasis,Richard MaddenFlora Spencer-LonghurstMoshidi MotshegwaKevin MacdonaldTV Movie Drama Sci-Fi
Vlad Yudin,Calum Von Moger,Kai Greene,Rich Piana,Documentary,generation iron 2,Calum Von MogerKai GreeneRich PianaVlad YudinDocumentary
Amariah Olson Obin Olson,Jonathan Rhys Meyers,Cam Gigandet,Michael Biehn,Sci-Fi Action Thriller,the shadow effect,Jonathan Rhys MeyersCam GigandetMichael BiehnAmariah Olson Obin OlsonSci-Fi Action Thriller
Deven Bhojani,Vidyut Jamwal,Adah Sharma,Freddy Daruwala,Action,commando 2: the black money trail,Vidyut JamwalAdah SharmaFreddy DaruwalaDeven BhojaniAction
Avgousta Zourelidi,Katy Townsend,Debi Derryberry,Cassandra Morris,Family Animation,monster high: electrified,Katy TownsendDebi DerryberryCassandra MorrisAvgousta ZourelidiFamily Animation
Geremy Jasper,Danielle Macdonald,Bridget Everett,Siddharth Dhananjay,Drama,patti cake$,Danielle MacdonaldBridget EverettSiddharth DhananjayGeremy JasperDrama
Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,Drama,loveless,Maryana SpivakAleksey RozinMatvey NovikovAndrey ZvyagintsevDrama
Mel Damski,Lacey Chabert,Carlo Marks,Jesse Moss,Romance TV Movie,moonlight in vermont,Lacey ChabertCarlo MarksJesse MossMel DamskiRomance TV Movie
Jeff Garlin,Jeff Garlin,Natasha Lyonne,Chris Redd,Comedy,handsome: a netflix mystery movie,Jeff GarlinNatasha LyonneChris ReddJeff GarlinComedy
Don Argott Sheena M. Joyce,Michael Uslan,Roy Thomas,Marc Tyler Nobleman,Documentary,batman & bill,Michael UslanRoy ThomasMarc Tyler NoblemanDon Argott Sheena M. JoyceDocumentary
Ivan Silvestrini,Katrina Bowden,Jay Hayden,Damon Dayoub,Drama Thriller,monolith,Katrina BowdenJay HaydenDamon DayoubIvan SilvestriniDrama Thriller
Tony E. Valenzuela,Robert Adamson,Alex Frnka,Conchata Ferrell,Horror,the axe murders of villisca,Robert AdamsonAlex FrnkaConchata FerrellTony E. ValenzuelaHorror
Brian Crano,Rebecca Hall,Jason Sudeikis,Dan Stevens,Comedy Romance,permission,Rebecca HallJason SudeikisDan StevensBrian CranoComedy Romance
Arnaud Desplechin,Mathieu Amalric,Marion Cotillard,Charlotte Gainsbourg,Drama Romance Thriller,ismael's ghosts,Mathieu AmalricMarion CotillardCharlotte GainsbourgArnaud DesplechinDrama Romance Thriller
Jonathan Mostow,Sam Worthington,Odeya Rush,Amy Landecker,Action Thriller,the hunter's prayer,Sam WorthingtonOdeya RushAmy LandeckerJonathan MostowAction Thriller
Lucien Jean-Baptiste,Lucien Jean-Baptiste,Aïssa Maïga,Vincent Elbaz,Comedy,he even has your eyes,Lucien Jean-BaptisteAïssa MaïgaVincent ElbazLucien Jean-BaptisteComedy
Miguel Arteta,Salma Hayek,John Lithgow,Connie Britton,Comedy Drama,beatriz at dinner,Salma HayekJohn LithgowConnie BrittonMiguel ArtetaComedy Drama
Dylan Bank Morgan Pehme Daniel DiMauro,Roger Stone,Donald Trump,Paul Manafort,Documentary,get me roger stone,Roger StoneDonald TrumpPaul ManafortDylan Bank Morgan Pehme Daniel DiMauroDocumentary
Valery Todorovsky,Alisa Freyndlikh,Aleksandr Domogarov,Nicolas Le Riche,unknown,the bolshoi,Alisa FreyndlikhAleksandr DomogarovNicolas Le RicheValery Todorovskyunknown
Robert Kirbyson,John Hennigan,Spencer Grammer,Lorenzo Lamas,Action,boone: the bounty hunter,John HenniganSpencer GrammerLorenzo LamasRobert KirbysonAction
Kyle Balda Pierre Coffin,Steve Carell,Kristen Wiig,Trey Parker,Action Animation Adventure Family Comedy,despicable me 3,Steve CarellKristen WiigTrey ParkerKyle Balda Pierre CoffinAction Animation Adventure Family Comedy
Hope Dickson Leach,Ellie Kendrick,David Troughton,Jack Holden,Drama,the levelling,Ellie KendrickDavid TroughtonJack HoldenHope Dickson LeachDrama
Alexi Pappas Jeremy Teicher,Alexi Pappas,Chase Offerle,Rebecca Friday,Drama,tracktown,Alexi PappasChase OfferleRebecca FridayAlexi Pappas Jeremy TeicherDrama
Rupert Goold,Tim Pigott-Smith,Charlotte Riley,Oliver Chris,Drama,king charles iii,Tim Pigott-SmithCharlotte RileyOliver ChrisRupert GooldDrama
Erin Lee Carr,Gypsey Rose,unknown,unknown,Documentary,mommy dead and dearest,Gypsey RoseunknownunknownErin Lee CarrDocumentary
Lucas Pavetto,Bill Moseley,Gabriella Wright,John Robinson,Drama Thriller,alcoholist,Bill MoseleyGabriella WrightJohn RobinsonLucas PavettoDrama Thriller
